Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
"Rey Gonzalez, Jr.",U.S. House,CD-34,2016,-0.225,-0.552,0.099,Republican,Texas,34
"Rey Gonzalez, Jr.",U.S. House,CD-34,2018,-0.111,-0.401,0.186,Republican,Texas,34
"Rey Gonzalez, Jr.",U.S. House,CD-34,2020,-0.126,-0.468,0.207,Republican,Texas,34
Bruce Davis,U.S. House,CD-13,2016,-1.031,-1.382,-0.689,Democratic,North Carolina,13
Ted Budd,U.S. House,CD-13,2016,1.494,1.239,1.735,Republican,North Carolina,13
Ted Budd,U.S. House,CD-13,2018,1.642,1.486,1.798,Republican,North Carolina,13
Ted Budd,U.S. House,CD-13,2020,1.863,1.62,2.11,Republican,North Carolina,13
Ted Budd,U.S. Senate,Sen-III,2022,2.193,2.125,2.258,Republican,North Carolina,102
Misty Plowright,U.S. House,CD-5,2016,-1.042,-1.364,-0.718,Democratic,Colorado,5
Charlie Crist,U.S. Senate,Sen-III,2010,-0.694,-0.728,-0.661,Other,Florida,102
Charlie Crist,U.S. House,CD-13,2016,-1.39,-1.53,-1.247,Democratic,Florida,13
Charlie Crist,U.S. House,CD-13,2018,-1.606,-1.75,-1.469,Democratic,Florida,13
Charlie Crist,U.S. House,CD-13,2020,-1.68,-1.812,-1.551,Democratic,Florida,13
Donald P. Larson,U.S. House,CD-9,2016,-0.09,-0.52,0.344,Republican,Ohio,9
Gretchen D. Driskell,U.S. House,CD-7,2016,-2.02,-2.233,-1.798,Democratic,Michigan,7
Gretchen D. Driskell,U.S. House,CD-7,2018,-2.088,-2.265,-1.909,Democratic,Michigan,7
Gretchen D. Driskell,U.S. House,CD-7,2020,-2.031,-2.226,-1.838,Democratic,Michigan,7
Matt Heinz,U.S. House,CD-2,2016,-1.399,-1.585,-1.204,Democratic,Arizona,2
Mike Parrish,U.S. House,CD-6,2016,-0.388,-0.743,-0.042,Democratic,Pennsylvania,6
Calvin Sidle,U.S. House,CD-4,2016,-0.403,-0.847,0.026,Democratic,Kentucky,4
Trey Hollingsworth,U.S. House,CD-9,2016,1.661,1.475,1.851,Republican,Indiana,9
Trey Hollingsworth,U.S. House,CD-9,2018,1.812,1.672,1.955,Republican,Indiana,9
Trey Hollingsworth,U.S. House,CD-9,2020,1.855,1.714,1.999,Republican,Indiana,9
Stephanie Murphy,U.S. House,CD-7,2016,-1.541,-1.733,-1.335,Democratic,Florida,7
Stephanie Murphy,U.S. House,CD-7,2018,-1.757,-1.908,-1.615,Democratic,Florida,7
Stephanie Murphy,U.S. House,CD-7,2020,-1.763,-1.896,-1.626,Democratic,Florida,7
Tom Nelson,U.S. House,CD-8,2016,-1.57,-1.791,-1.346,Democratic,Wisconsin,8
DuWayne Gregory,U.S. House,CD-2,2016,-1.294,-1.724,-0.851,Democratic,New York,2
Jamie Raskin,U.S. House,CD-8,2016,-2.461,-2.678,-2.249,Democratic,Maryland,8
Jamie Raskin,U.S. House,CD-8,2018,-2.502,-2.693,-2.309,Democratic,Maryland,8
Jamie Raskin,U.S. House,CD-8,2020,-2.769,-2.946,-2.593,Democratic,Maryland,8
Jamie Raskin,U.S. House,CD-8,2022,-2.843,-3.011,-2.675,Democratic,Maryland,8
Jamie Raskin,U.S. House,CD-8,2024,-2.919,-3.11,-2.737,Democratic,Maryland,8
Dan Cox,U.S. House,CD-8,2016,0.914,0.507,1.325,Republican,Maryland,8
Sue Caro,U.S. House,CD-13,2016,-1.109,-1.68,-0.513,Republican,California,13
"H. Powell Dew, Jr.",U.S. House,CD-1,2016,0.857,0.405,1.323,Republican,North Carolina,1
Daniel B. Giroux,U.S. House,CD-4,2016,-0.939,-1.298,-0.587,Democratic,Kansas,4
Jim Lawrence,U.S. House,CD-2,2016,0.616,0.266,0.956,Republican,New Hampshire,2
Tommy A. Schrader,U.S. House,CD-3,2016,-1.379,-1.794,-0.97,Democratic,Indiana,3
James Banks,U.S. House,CD-3,2016,1.779,1.561,1.995,Republican,Indiana,3
James Banks,U.S. House,CD-3,2018,1.914,1.755,2.071,Republican,Indiana,3
James Banks,U.S. House,CD-3,2020,2.185,2.031,2.346,Republican,Indiana,3
James Banks,U.S. House,CD-3,2022,2.282,2.127,2.438,Republican,Indiana,3
James Banks,U.S. Senate,Sen-I,2024,2.383,2.19,2.581,Republican,Indiana,100
Robert W. Derlet,U.S. House,CD-4,2016,-1.466,-1.825,-1.12,Democratic,California,4
Joe Werner,U.S. House,CD-1,2016,-0.928,-1.329,-0.523,Democratic,Maryland,1
Don Bacon,U.S. House,CD-2,2016,1.784,1.59,1.967,Republican,Nebraska,2
Don Bacon,U.S. House,CD-2,2018,1.94,1.777,2.105,Republican,Nebraska,2
Don Bacon,U.S. House,CD-2,2020,2.028,1.87,2.204,Republican,Nebraska,2
Don Bacon,U.S. House,CD-2,2022,1.733,1.562,1.907,Republican,Nebraska,2
Don Bacon,U.S. House,CD-2,2024,1.546,1.359,1.73,Republican,Nebraska,2
Roger Marshall,U.S. House,CD-1,2016,1.116,0.818,1.402,Republican,Kansas,1
Roger Marshall,U.S. House,CD-1,2018,1.669,1.456,1.876,Republican,Kansas,1
Roger Marshall,U.S. Senate,Sen-II,2020,1.921,1.802,2.045,Republican,Kansas,101
Frank Neslon Drake,U.S. House,CD-5,2016,0.746,0.367,1.118,Republican,Minnesota,5
Jack Bergman,U.S. House,CD-1,2016,1.592,1.407,1.785,Republican,Michigan,1
Jack Bergman,U.S. House,CD-1,2018,1.687,1.537,1.839,Republican,Michigan,1
Jack Bergman,U.S. House,CD-1,2020,1.827,1.671,1.981,Republican,Michigan,1
Jack Bergman,U.S. House,CD-1,2022,1.869,1.724,2.017,Republican,Michigan,1
Jack Bergman,U.S. House,CD-1,2024,1.98,1.817,2.152,Republican,Michigan,1
Doug Applegate,U.S. House,CD-49,2016,-1.888,-2.185,-1.597,Democratic,California,49
Merrie Lee Soules,U.S. House,CD-2,2016,-1.696,-2.055,-1.341,Democratic,New Mexico,2
Tonia Khouri,U.S. House,CD-11,2016,0.571,0.212,0.92,Republican,Illinois,11
Angel Cardenas,U.S. House,CD-14,2016,-1.1,-1.432,-0.762,Republican,California,14
Lenny McAllister,U.S. House,CD-14,2016,-0.2,-0.583,0.191,Republican,Pennsylvania,14
Steve Fought,U.S. House,CD-8,2016,-0.707,-1.237,-0.163,Democratic,Ohio,8
Warren Davidson,U.S. House,CD-8,2016,1.572,1.341,1.799,Republican,Ohio,8
Warren Davidson,U.S. House,CD-8,2018,1.632,1.436,1.82,Republican,Ohio,8
Warren Davidson,U.S. House,CD-8,2020,1.894,1.721,2.079,Republican,Ohio,8
Warren Davidson,U.S. House,CD-8,2022,1.854,1.674,2.031,Republican,Ohio,8
Warren Davidson,U.S. House,CD-8,2024,1.841,1.634,2.048,Republican,Ohio,8
Jeff Stone,U.S. House,CD-36,2016,0.904,0.648,1.153,Republican,California,36
Nancy Jo Kemper,U.S. House,CD-6,2016,-1.583,-1.815,-1.346,Democratic,Kentucky,6
Stacy Ries Snyder,U.S. House,CD-5,2016,1.071,0.748,1.41,Republican,Tennessee,5
Pat McDonough,U.S. House,CD-2,2016,1.539,1.275,1.802,Republican,Maryland,2
Joseph M. Wenzel,U.S. House,CD-11,2016,-1.442,-1.787,-1.083,Democratic,New Jersey,11
Charles Hernick,U.S. House,CD-8,2016,0.444,0.126,0.754,Republican,Virginia,8
Jacky Rosen,U.S. House,CD-3,2016,-1.896,-2.103,-1.687,Democratic,Nevada,3
